Course Name,Course Code,Stream,Universities Offering Course,Faculty / Department,Duration,Degree Programme,A/L Subject Requirements,O/L Special Requirements,Practical / Aptitude Test,Proposed Intake,Medium of Instruction,Notes
Mineral Resources and Technology,076,Biological Science or Physical Science,Uva Wellassa University,Faculty of Science & Technology,4 Years,BSc Honours in Mineral Resources and Technology,"(1) Biology, Chemistry, Physics; OR (2) Combined Math, Chemistry, Physics",None,No,106,English,Specializations from 3rd year: Mineral Processing Technology; Water Science & Technology
"Hospitality, Tourism and Events Management",090,Commerce; Biological Science; or Physical Science,Uva Wellassa University,Faculty of Management,4 Years,"BBM Honours in Hospitality, Tourism and Events Management","S in any 3 from Commerce, Biological Science, or Physical Science Stream",None,No,107,English,Final year: industrial training + research
Physical Education,081,Multi-stream (any),University of Jaffna; Sabaragamuwa University,Faculty of Sports Sciences & Management,4 Years,BSc Honours in Physical Education,S in any 3 subjects,None,Yes,150,English,"Practical Test conducted jointly by Sabaragamuwa, Jaffna, USJ, Kelaniya. One test covers both Physical Education and Sports Science & Management."
Sports Science & Management,082,Multi-stream (any),Sri Jayewardenepura; Kelaniya; Sabaragamuwa,Faculty of Sports Sciences & Management,4 Years,BSc Honours in Sports Science & Management,S in any 3 subjects,None,Yes,228,English,"Same Practical Test as Physical Education; conducted jointly by Sabaragamuwa, Jaffna, USJ, Kelaniya"
Information Technology & Management,091,Multi-stream (any),University of Moratuwa,Faculty of Information Technology,4 Years,BSc Honours in Information Technology & Management,"C in 2 from: Higher Math, Combined Math, Math, Physics, Chemistry, Accounting, Business Stats, ICT; + S in 3rd subject",C in English; C in Mathematics,No,127,English,
Tourism & Hospitality Management,092,Multi-stream (Commerce; Bio Sci; Phys Sci; or Arts),Rajarata; Sabaragamuwa,Faculty of Management,4 Years,BSc Honours in Tourism Management / BSc Honours in Hospitality Management / BSc Honours in Tourism & Hospitality Management,"S in 3 from Commerce, Bio Sci, Phys Sci; OR Arts subjects with at least 1 from: Economics, Geography, Business Stats",None,No,181,English,
Information Systems,096,Multi-stream (any),UCSC (Colombo); Sri Jayewardenepura; Sabaragamuwa,School of Computing / Faculty of IT,3 Years (BSc) / 4 Years (BSc Honours),BSc / BComp Honours / BSc Honours in Information Systems,"C in Combined Math, Physics, or ICT + S in any 2 other subjects",C in English; C in Mathematics,No,350,English,UCSC students with good performance may upgrade to 4-year Honours
Translation Studies,098,Arts (any),Kelaniya; Jaffna; Eastern; Sabaragamuwa,Faculty of Humanities,4 Years,BA Honours in Translation Studies,C in Sinhala or Tamil at A/L + 2 other subjects,"B in Sinhala & English, or B in Tamil & English (O/L); OR S in English at A/L",No,158,"Sinhala/English (Kelaniya); English/Tamil (Jaffna, Eastern, Sabaragamuwa)",
Film & Television Studies,100,Multi-stream (any),University of Kelaniya,Faculty of Humanities,4 Years,BA Honours in Film & Television Studies,S in any 3 subjects,None,Yes,60,Sinhala,Aptitude Test by University of Kelaniya (interview/practical/written); candidates must have specific skills in Film & Television
Project Management,101,Multi-stream (any),University of Vavuniya,Faculty of Business Studies,3 Years (BBM) / 4 Years (BBM Honours),BBM / BBM Honours in Project Management,"C in 2 from: Accounting, Business Studies, Business Stats, Economics, Geography, ICT, Math/Combined Math, Biology, Agri Sci, ET, BST; + S in 3rd",None,No,101,English,
Information and Communication Technology (ICT),038,Multi-stream (any),Rajarata; University of Vavuniya,Faculty of Computing,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Information Technology,"C in Combined Math, Physics, or ICT + S in any 2 other subjects",C in English; C in Mathematics,No,285,English,4th year optional based on performance; medium is English only
Software Engineering,099,Physical Science (or any with Phys Sci subjects),Kelaniya; Sabaragamuwa; Sri Jayewardenepura,Faculty of Computing,4 Years,BSc Honours in Software Engineering / BComp Honours in Software Engineering,"S in Combined Math, Physics + 3rd from: Chemistry, Higher Math, ICT",None,No,186,English,
Food Business Management,107,Biological Science or Commerce,Sabaragamuwa University,Faculty of Agricultural Sciences,4 Years,BSc Honours in Food Business Management,"Category A (50%): S in Bio/Phys Sci subjects (any from Chem, Bio, Physics, Combined Math, Agri Sci); Category B (50%): S in Business Studies, Economics, Accounting",C in English; C in Mathematics; C in Science,No,135,English,50-50 split between Bio/Phys Sci and Commerce stream students
Marine and Fresh Water Sciences,106,Biological Science or Physical Science,University of Ruhuna,Faculty of Fisheries & Marine Sciences & Technology,4 Years,BSc Honours in Marine and Freshwater Sciences,"(i) Chemistry, Physics, Biology; OR (ii) Chemistry, Physics, Combined Math",None,No,100,English,Specializations: Oceanography & Marine Geology; Water Sciences & Technology
Business Science,109,Physical Science or Commerce,University of Moratuwa,Faculty of Business,4 Years,Bachelor of Business Science Honours,S in 3 from Physical Science or Commerce Stream; OR 2 from Phys Sci/Commerce + ICT as 3rd,C in Mathematics,No,150,English,Specializations: Business Analytics; Business Process Management; Financial Services Management
Financial Engineering,110,Commerce,University of Kelaniya,Faculty of Commerce & Management,4 Years,BBM Honours in Financial Engineering,"S in Economics, Accounting + 1 from: Business Studies, ICT, Business Stats, Agri Sci, Geography, History, Physics, Logic & Scientific Method, Political Sci, Combined Math",C in English; C in Mathematics,No,80,English,
Geographical Information Science,111,Arts; Biological Science; or Physical Science,University of Peradeniya,Faculty of Arts / Faculty of Science,4 Years,BSc Honours in Geographical Information Science,"S in any 3 subjects from Arts Stream (per basket rules), Biological Science Stream, or Physical Science Stream",None,No,75,English,
Financial Mathematics and Industrial Statistics,113,Multi-stream (any with Combined Math),University of Ruhuna,Faculty of Science,4 Years,BSc Honours in Financial Mathematics and Industrial Statistics,S in Combined Mathematics + any 2 other subjects,None,No,50,English,
Human Resource Development,114,Multi-stream (any),Uva Wellassa University,Faculty of Management,4 Years,BBM Honours in Human Resource Development,S in any 3 subjects,None,No,85,English,
Health Information and Communication Technology,121,Engineering Technology or Biosystems Technology,Gampaha Wickramarachchi University,Faculty of Health Sciences,4 Years,BHSc Honours in Health Information and Communication Technology,S in any 3 from Engineering Technology Stream or Biosystems Technology Stream,None,No,70,English,
Health Tourism and Hospitality Management,122,Commerce; Biological Science; Physical Science; ET; or BST,Gampaha Wickramarachchi University,Faculty of Health Sciences,4 Years,BSc Honours in Health Tourism and Hospitality Management,"S in any 3 from Commerce, Bio Sci, Phys Sci, Engineering Technology, or Biosystems Technology Stream",None,No,70,English,
Biomedical Technology,123,Engineering Technology or Biosystems Technology,Gampaha Wickramarachchi University,Faculty of Health Sciences,4 Years,BHSc Honours in Biomedical Technology,S in any 3 from Engineering Technology Stream or Biosystems Technology Stream,None,No,70,English,
Indigenous Pharmaceutical Technology,124,ET; BST; or Biological Science,Gampaha Wickramarachchi University,Faculty of Indigenous Medicine,4 Years,BHSc Honours in Indigenous Pharmaceutical Technology,"S in any 3 from ET or BST Stream; OR S in any 3 from: Chemistry, Physics, Biology, Agri Sci",None,No,70,English,
Yoga and Parapsychology,125,Multi-stream (any),Gampaha Wickramarachchi University,Faculty of Indigenous Medicine,4 Years,BSc Honours in Yoga and Parapsychology,S in any 3 subjects,None,No,70,English,
Social Studies in Indigenous Knowledge,126,Multi-stream (any),Gampaha Wickramarachchi University,Faculty of Indigenous Medicine,4 Years,BSc Honours in Social Studies in Indigenous Knowledge,S in any 3 subjects,None,No,70,English,
Financial Economics,131,Arts or Commerce,University of Sri Jayewardenepura,Faculty of Management Studies & Commerce,4 Years,BA Honours in Financial Economics,B (Very Good Pass) in Economics + S in any 2 from Arts or Commerce Stream,None,No,50,English,
English Language & Applied Linguistics,132,Multi-stream (any),Uva Wellassa University,Faculty of Humanities & Social Sciences,4 Years,BA Honours in English Language & Applied Linguistics,S in any 3 subjects,C in English; C in Mathematics,No,50,English,
Creative Music Technology and Production,134,Multi-stream (any),University of Sri Jayewardenepura,Faculty of Humanities,4 Years,BA Honours in Creative Music Technology and Production,S in any 3 subjects,None,No,50,Sinhala / English,
Plantation Management and Technology,135,Biological Science or Physical Science,Uva Wellassa University,Faculty of Animal Science & Export Agriculture,4 Years,BSc Honours in Plantation Management and Technology,"(1) Biology, Chemistry + Physics or Agri Sci; OR (2) Combined Math, Chemistry, Physics",None,No,216,English,
Primary Education,137,Multi-stream (any),University of Colombo,Faculty of Education,4 Years,BEd Honours in Primary Education,S in any 3 subjects,C in Sinhala Language & Lit.; C in Mathematics; C in Science; S in English,No,75,Sinhala,
Polymer Science and Industrial Management,139,Biological Science or Physical Science,University of Sri Jayewardenepura,Faculty of Applied Sciences,4 Years,BSc Honours in Polymer Science and Industrial Management,"(1) Biology, Physics, Chemistry; OR (2) Combined Math, Physics, Chemistry",None,No,50,English,
